Metric,Value
Model name,Central for Node 4134
Dataset name,oslo_3_month_aggregated_proc
Accuracy,0.8291
Precision,0.4295
Recall,0.8209
Specificity,0.8303
F1 Score,0.5639
AUC,0.8256
True Negative Rate,0.8303
False Positive Rate,0.1697
False Negative Rate,0.1791
True Positive Rate,0.8209
AUPRC,0.3767
G-Mean,0.8256
