Metric,Value
Accuracy,0.780305612554452
Precision,0.12778236370814341
Recall,0.7065407207493253
Specificity,0.9834749162459409
F1 Score,0.21642321790032276
AUC,0.745078003369178
True Negative Rate,0.7836152859890305
False Positive Rate,0.21638471401096948
False Negative Rate,0.2934592792506747
True Positive Rate,0.7065407207493253
Total Samples,100000
Compute per Analysis,5.099325599985605e-07
Disk,5167081
RAM,0
