Metric,Value
Model name,Node 4133
Dataset name,oslo_3_month_aggregated_proc
Accuracy,0.8657984462307691
Precision,0.423964763589042
Recall,0.9652956102897604
Specificity,0.8547817250684738
F1 Score,0.5891643249960586
AUC,0.910038667679117
AUPRC,0.41271087767966497
True Negative Rate,0.8547817250684738
False Positive Rate,0.14521827493152617
False Negative Rate,0.03470438971023962
True Positive Rate,0.9652956102897604
Total Samples,100000
Compute per Analysis,3.964467877522111e-06
Disk,539226276
RAM,0
Train Time,10.993159770965576
