Metric,Value
Model name,Node 4125
Dataset name,oslo_3_month_aggregated_proc
Accuracy,0.8097262886785805
Precision,0.33595512468751904
Recall,0.9168746690870585
Specificity,0.7977697464040283
F1 Score,0.4917327881354557
AUC,0.8573222077455435
AUPRC,0.316373415941971
True Negative Rate,0.7977697464040283
False Positive Rate,0.2022302535959717
False Negative Rate,0.08312533091294154
True Positive Rate,0.9168746690870585
Total Samples,100000
Compute per Analysis,3.920686249621212e-06
Disk,708586116
RAM,985509888
Train Time,10.09027099609375
