Metric,Value
Model name,Node 4121
Dataset name,oslo_3_month_aggregated_proc
Accuracy,0.8148948699296824
Precision,0.28992094572516813
Recall,0.5892942109436955
Specificity,0.8399171004964076
F1 Score,0.3886391940613672
AUC,0.7146056557200515
AUPRC,0.2118536685635483
True Negative Rate,0.8399171004964076
False Positive Rate,0.16008289950359245
False Negative Rate,0.4107057890563045
True Positive Rate,0.5892942109436955
Total Samples,100000
Compute per Analysis,5.093100997619331e-06
Disk,1660246596
RAM,2525945856
Train Time,16.158588647842407
