Metric,Value
Model name,Node 4120
Dataset name,oslo_3_month_aggregated_proc
Accuracy,0.7295642079726238
Precision,0.23322098394283186
Recall,0.7427746348853173
Specificity,0.728093328606989
F1 Score,0.3549823951130531
AUC,0.7354339817461532
AUPRC,0.19900132725590014
True Negative Rate,0.728093328606989
False Positive Rate,0.27190667139301095
False Negative Rate,0.2572253651146827
True Positive Rate,0.7427746348853173
Total Samples,100000
Compute per Analysis,5.077112303115427e-06
Disk,1360948356
RAM,2025234432
Train Time,13.279959440231323
