Metric,Value
Model name,Node 4147
Dataset name,oslo_3_month_aggregated_proc
Accuracy,0.8605458227176578
Precision,0.41247430327434564
Recall,0.9374506290580505
Specificity,0.852023294171653
F1 Score,0.5728826630481174
AUC,0.8947369616148518
AUPRC,0.3929144382338685
True Negative Rate,0.852023294171653
False Positive Rate,0.147976705828347
False Negative Rate,0.0625493709419494
True Positive Rate,0.9374506290580507
Total Samples,100000
Compute per Analysis,4.066966320388019e-06
Disk,910930436
RAM,1272664064
Train Time,17.21095848083496
