Metric,Value
Model name,Node 4122
Dataset name,oslo_3_month_aggregated_proc
Accuracy,0.785654061354428
Precision,0.3044577243793867
Recall,0.8899531222871694
Specificity,0.7740635377296806
F1 Score,0.45370167756275187
AUC,0.8320083300084251
AUPRC,0.28195927644636587
True Negative Rate,0.7740635377296806
False Positive Rate,0.22593646227031938
False Negative Rate,0.1100468777128306
True Positive Rate,0.8899531222871694
Total Samples,100000
Compute per Analysis,4.229912818409503e-06
Disk,1216287076
RAM,1604456448
Train Time,18.55812382698059
