Metric,Value
Model name,Node 4143
Dataset name,oslo_3_month_aggregated_proc
Accuracy,0.8211526537178864
Precision,0.3452169667284099
Recall,0.8773661092398904
Specificity,0.8149000568537216
F1 Score,0.4954782589350271
AUC,0.8461330830468059
AUPRC,0.3151568188288691
True Negative Rate,0.8149000568537216
False Positive Rate,0.18509994314627842
False Negative Rate,0.12263389076010951
True Positive Rate,0.8773661092398904
Total Samples,100000
Compute per Analysis,4.492753660306334e-06
Disk,1149347716
RAM,1216278528
Train Time,17.79268479347229
