Metric,Value
Model name,Node 4127
Dataset name,oslo_3_month_aggregated_proc
Accuracy,0.7962841733939353
Precision,0.31458762046720457
Recall,0.8885290608488154
Specificity,0.7860914929280374
F1 Score,0.4646602400402889
AUC,0.8373102768884264
AUPRC,0.2906117564342324
True Negative Rate,0.7860914929280374
False Positive Rate,0.21390850707196263
False Negative Rate,0.1114709391511846
True Positive Rate,0.8885290608488154
Total Samples,100000
Compute per Analysis,4.997145943343639e-06
Disk,698816516
RAM,1213124608
Train Time,8.868470430374146
