Metric,Value
Model name,Node 4134
Dataset name,oslo_3_month_aggregated_proc
Accuracy,0.7206150992202104
Precision,0.23354764646383336
Recall,0.7897670785399801
Specificity,0.7129566033482061
F1 Score,0.36049171958693826
AUC,0.7513618409440931
AUPRC,0.20540980995702313
True Negative Rate,0.7129566033482061
False Positive Rate,0.2870433966517939
False Negative Rate,0.21023292146001987
True Positive Rate,0.7897670785399802
Total Samples,100000
Compute per Analysis,4.658338380977511e-06
Disk,1259225476
RAM,1994977280
Train Time,13.949339389801025
